no, czas_rzeczywisty[s], czas_suma[s], pi
p1 - logiczne, 10.725066, 9.203207, 3.141592653590
p2, 14.021487, 37.912291, 1.228518979994
p2 - fizyczne, 13.257834, 40.426653, 1.179866787799
p2 - fizyczne/2, 12.963099, 23.105982,  1.949963674713
p3
p3 - fizyczne
p3 - fizyczne/2

liczba iteracji, 1000000000
